City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain(inches),Snow(inches)
0,Leeton,AU,-34.57,146.4,46.4,100,75,3.36,broken clouds,0.0,0
1,Port Elizabeth,ZA,-33.92,25.57,48.2,66,0,8.05,clear sky,0.0,0
2,Nouadhibou,MR,20.93,-17.03,69.8,83,0,10.29,clear sky,0.0,0
3,Severnoye,RU,56.35,78.36,63.27,88,77,8.12,broken clouds,0.0,0
4,Busselton,AU,-33.65,115.33,48.99,74,0,16.98,clear sky,0.0,0
5,Sorong,ID,-0.88,131.25,79.16,83,100,11.14,moderate rain,2.03,0
6,Kruisfontein,ZA,-34.0,24.73,44.4,66,0,5.82,clear sky,0.0,0
7,Matara,LK,5.95,80.54,79.07,86,100,8.55,overcast clouds,0.0,0
8,Kindu,CD,-2.95,25.95,70.18,92,60,1.77,light rain,0.23,0
9,Albany,US,42.6,-73.97,78.01,81,0,5.7,light rain,0.96,0
10,Pryazha,RU,61.69,33.62,57.2,87,100,13.42,overcast clouds,0.0,0
11,Bambous Virieux,MU,-20.34,57.76,71.01,73,40,14.99,scattered clouds,0.0,0
12,Cape Town,ZA,-33.93,18.42,54.0,81,45,10.29,scattered clouds,0.0,0
13,Sorland,NO,67.67,12.69,51.96,77,78,18.75,broken clouds,0.0,0
14,Caohai,CN,26.87,104.28,61.59,98,100,3.65,heavy intensity rain,5.14,0
15,Mataura,NZ,-46.19,168.86,45.12,91,100,6.26,light rain,0.15,0
16,Adrar,MR,20.5,-10.07,89.37,36,34,9.13,scattered clouds,0.0,0
17,Bluff,NZ,-46.6,168.33,45.95,82,100,16.08,overcast clouds,0.0,0
18,Kapaa,US,22.08,-159.32,84.2,70,75,17.22,broken clouds,0.0,0
19,Mumford,GH,5.26,-0.76,74.08,91,80,9.15,broken clouds,0.0,0
20,Ushuaia,AR,-54.8,-68.3,35.6,74,20,17.22,few clouds,0.0,0
21,Khatanga,RU,71.97,102.5,52.56,76,100,17.45,overcast clouds,0.0,0
22,Punta Arenas,CL,-53.15,-70.92,32.0,87,0,10.29,clear sky,0.0,0
23,Qaanaaq,GL,77.48,-69.36,44.78,62,0,4.68,clear sky,0.0,0
24,Mar Del Plata,AR,-38.0,-57.56,48.99,57,98,12.75,overcast clouds,0.0,0
25,Loa Janan,ID,-0.58,117.09,74.48,98,100,0.54,moderate rain,1.53,0
26,Rikitea,PF,-23.12,-134.97,69.8,71,100,15.61,overcast clouds,0.0,0
27,Gizo,SB,-8.1,156.84,84.36,70,87,7.63,overcast clouds,0.0,0
28,Port Alfred,ZA,-33.59,26.89,51.01,69,7,5.01,clear sky,0.0,0
