City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
7,Matara,LK,79.07,overcast clouds,5.95,80.54,Amaloh Boutique Resort
16,Adrar,MR,89.37,scattered clouds,20.5,-10.07,
18,Kapaa,US,84.2,broken clouds,22.08,-159.32,Sheraton Kauai Resort at Coconut Beach
27,Gizo,SB,84.36,overcast clouds,-8.1,156.84,Imagination Island
30,Keningau,MY,78.8,few clouds,5.34,116.16,Sabindo Hotel
32,Pauini,BR,76.06,clear sky,-7.71,-66.98,Casa do Kiwliks
36,Hithadhoo,MV,83.48,clear sky,-0.6,73.08,Scoop Guest House
39,Bengkulu,ID,78.33,overcast clouds,-3.8,102.27,Grage Hotel Bengkulu
43,Kirakira,SB,82.94,few clouds,-10.45,161.92,SanBiz Lodge
45,Pacific Grove,US,78.01,clear sky,36.62,-121.92,Lovers Point Inn
47,Japura,ID,78.31,broken clouds,-0.32,102.35,KOST dan HOMESTAY RUMAH KITA JOSH
49,Hasaki,JP,88.0,broken clouds,35.73,140.83,Inubosaki Kanko Hotel
51,Davidson,US,89.6,few clouds,36.15,-86.78,Best Western Plus Music Row
54,Gat,IL,75.99,scattered clouds,31.61,34.76,רגע בנחת
56,Faanui,PF,78.3,broken clouds,-16.48,-151.75,Bora-Bora Pearl Beach Resort & Spa
57,Dingle,PH,83.95,overcast clouds,11.0,122.67,Camp Pasica
60,Bathsheba,BB,82.4,scattered clouds,13.22,-59.52,Atlantis Hotel
62,Tessalit,ML,89.65,overcast clouds,20.2,1.01,
63,San Patricio,MX,84.2,broken clouds,19.22,-104.7,Hotel Cabo Blanco
68,Aripuana,BR,76.64,clear sky,-9.17,-60.63,
70,Cabo Rojo,PR,84.0,overcast clouds,18.09,-67.15,Hotel Perichi's
74,Alofi,NU,77.0,overcast clouds,-19.06,-169.92,Taloa Heights
79,Victoria,HK,89.01,few clouds,22.29,114.16,Mini Hotel Central
83,Tomatlan,MX,85.93,overcast clouds,19.93,-105.25,Norma franco
88,Hami,CN,84.96,few clouds,42.8,93.45,Laoyutang Resort
93,Portland,US,79.0,broken clouds,45.52,-122.68,Portland Marriott City Center
94,Manaure,CO,81.43,overcast clouds,11.78,-72.44,Del mar vendra
95,Isangel,VU,80.6,scattered clouds,-19.55,169.27,Volcano Sea View Tree House
98,Najran,SA,82.4,overcast clouds,17.49,44.13,محمد هادي ال فطيح
101,Songjianghe,CN,77.65,broken clouds,42.19,127.48,Sijisheng Fashion Guest House
107,Celestun,MX,82.89,clear sky,20.87,-90.4,Posada Lilia
108,Seydi,TM,80.06,clear sky,39.48,62.91,
120,Tiznit,MA,78.6,few clouds,29.58,-9.5,
122,Iquitos,PE,77.0,broken clouds,-3.75,-73.25,Cortez Malaga Techy Caroly
124,Singaraja,ID,80.98,clear sky,-8.11,115.09,Puri Bagus Lovina Resort
130,Praya,CV,77.0,broken clouds,14.92,-23.51,LT Aparthotel
134,Alta Floresta,BR,75.6,few clouds,-9.88,-56.09,Floresta Amazonica Hotel
135,Diamantino,BR,75.42,overcast clouds,-14.41,-56.45,Hotel Delta
136,Ixtapa,MX,88.0,overcast clouds,20.7,-105.2,Container Inn Puerto Vallarta
138,Georgetown,MY,77.0,few clouds,5.41,100.34,Cititel Penang
139,Umm Lajj,SA,81.07,clear sky,25.02,37.27,Moon light Furnished Units
142,Kysyl-Syr,RU,80.22,clear sky,63.9,122.76,
146,Vieux-Habitants,GP,78.8,few clouds,16.06,-61.77,Gîtes Dardanelle
148,Lompoc,US,77.0,clear sky,34.64,-120.46,Holiday Inn Express Lompoc
160,Butaritari,KI,84.2,clear sky,3.07,172.79,Isles Sunset Lodge
168,Aden,YE,86.99,few clouds,12.78,45.04,Sama Emirate Hotel
172,Itoman,JP,87.8,scattered clouds,26.12,127.67,Southern Beach Hotel & Resort Okinawa
185,Sola,VU,80.6,broken clouds,-13.88,167.55,Leumerus Bungalows
187,Tambacounda,SN,78.8,thunderstorm,13.75,-13.76,
190,La Ronge,CA,77.0,broken clouds,55.1,-105.28,Northland Motor Hotel
193,Fort-Shevchenko,KZ,83.46,broken clouds,44.51,50.26,Oasis hotel Bautino
194,Asyut,EG,79.92,clear sky,27.18,31.18,Florence Hotel Assiut
196,Khandyga,RU,80.69,overcast clouds,62.67,135.6,Apel'sin
200,Santomera,ES,77.0,clear sky,38.06,-1.05,HOTEL RESTAURANTE SANTOS
203,Waingapu,ID,81.09,overcast clouds,-9.66,120.26,Pondok Wisata Elim
206,Bandarbeyla,SO,80.69,overcast clouds,9.49,50.81,REER XOOSHLE GROUP
211,Salalah,OM,80.6,drizzle,17.02,54.09,HAMDAN PLAZA HOTEL
214,Tecolutla,MX,87.8,scattered clouds,20.48,-97.02,Hotel Real del Quijote
226,Virginia Beach,US,88.0,few clouds,36.85,-75.98,Hilton Virginia Beach Oceanfront
230,Osoyoos,CA,75.2,overcast clouds,49.03,-119.45,Watermark Beach Resort Hotel
231,Cairns,AU,75.2,scattered clouds,-16.92,145.77,Mantra Trilogy Cairns
232,Boa Vista,BR,78.8,broken clouds,2.82,-60.67,Aipana Plaza Hotel
237,Kidal,ML,85.59,scattered clouds,18.44,1.41,
238,Shenjiamen,CN,79.11,broken clouds,29.96,122.3,Jinjiang Inn Zhoushan Putuo Shenjiamen
242,Itupiranga,BR,80.6,few clouds,-5.13,-49.33,JAIRO ORLINDO VIEIRA
244,Atambua,ID,81.12,clear sky,-9.11,124.89,Pondok Pesantren Al Muhajirin Atambua
246,Rosignol,GY,79.48,broken clouds,6.28,-57.53,Little Rock Suites
251,Kotri,PK,85.53,overcast clouds,25.37,68.31,Drivers Running Room
252,Marzuq,YE,84.25,overcast clouds,14.4,46.47,
253,Kavieng,PG,84.97,overcast clouds,-2.57,150.8,Nusa Island Retreat
257,Southbridge,US,78.01,overcast clouds,42.08,-72.03,Southbridge Hotel & Conference Center
266,Labuhan,ID,79.63,overcast clouds,-6.88,112.21,bador sepret
268,Katsuura,JP,84.2,broken clouds,35.13,140.3,Katsuura Hotel Mikazuki
270,Kulhudhuffushi,MV,81.27,overcast clouds,6.62,73.07,Haajy Guest House 1
271,Bac Lieu,VN,82.92,overcast clouds,9.29,105.72,Khách sạn Sài Gòn Bạc Liêu
272,Port Moresby,PG,81.39,clear sky,-9.44,147.18,Lamana Hotel
279,Padang,ID,80.01,overcast clouds,-0.95,100.35,Mercure Padang
289,Esna,EG,85.39,clear sky,25.29,32.55,Orient Star Dahabyia Isna 05 Nights Each Sunday
294,Kaura Namoda,NG,79.57,overcast clouds,12.59,6.58,Moonlight Hotel
296,San Quintin,MX,77.27,clear sky,30.48,-115.95,Old Mill Hotel
297,Teshie,GH,77.0,few clouds,5.58,-0.11,ANAIVEH SERVICES
299,Naze,JP,86.0,broken clouds,28.37,129.48,奄美ポートタワーホテル
304,Coahuayana,MX,84.2,broken clouds,18.73,-103.68,Hotel Los Arcos
312,Krabi,TH,82.0,broken clouds,8.07,98.91,Tharapark View Hotel
313,Palmer,US,78.8,broken clouds,42.16,-72.33,Wedgewood Motel
318,Bambanglipuro,ID,79.77,scattered clouds,-7.95,110.28,Puri Brata
319,Thap Than,TH,83.35,overcast clouds,15.46,99.89,Am
326,Mecca,SA,81.91,overcast clouds,21.43,39.83,Hotel Fairmont Makkah Clock Royal Tower
328,Xuanzhou,CN,89.83,overcast clouds,30.95,118.76,Nanfang Hotel
337,Praia,CV,77.0,broken clouds,14.92,-23.51,LT Aparthotel
344,Hay River,CA,75.2,broken clouds,60.82,-115.8,Ptarmigan Inn Hotels
346,Micheweni,TZ,76.12,overcast clouds,-4.97,39.83,
353,Shimoda,JP,78.01,broken clouds,34.67,138.95,Shimoda Tokyu Hotel
354,Umm Kaddadah,SD,84.02,overcast clouds,13.6,26.69,
365,Madang,PG,85.95,overcast clouds,-5.22,145.8,Comfort Inn Hotel
367,Acapulco,MX,86.0,broken clouds,16.86,-99.89,HS Hotsson Smart Acapulco
368,North Platte,US,82.99,clear sky,41.12,-100.77,Holiday Inn Express & Suites North Platte
371,Erenhot,CN,76.98,overcast clouds,43.65,111.98,Erenhot Rurouni Youth Hostel
374,Plaster Rock,CA,75.2,overcast clouds,46.91,-67.39,Settler's Inn & Motel
386,Vanimo,PG,85.59,overcast clouds,-2.67,141.3,Vahmoneh Lodge Vanimo
397,North Myrtle Beach,US,84.2,clear sky,33.82,-78.68,Avista Resort
398,Trincomalee,LK,80.51,overcast clouds,8.57,81.23,Welcombe Hotel
404,Havelock,US,84.2,scattered clouds,34.88,-76.9,Sherwood Motel
405,Manaus,BR,82.4,broken clouds,-3.1,-60.02,Hotel do Largo
407,Ijero,NG,77.0,few clouds,6.48,3.38,The Snug
408,Manali,IN,80.6,scattered clouds,13.17,80.27,Sarathy Lodge
412,Kupang,ID,82.4,few clouds,-10.17,123.58,Sylvia Hotel Premier Kupang
413,Ust-Kuyga,RU,81.75,clear sky,70.02,135.6,
422,Baillif,GP,78.8,few clouds,16.02,-61.75,Chambres Bougainvilliers Vue Mer
426,Port Keats,AU,81.77,overcast clouds,-14.25,129.55,TDC Village (Hundred Man Camp)
433,Maumere,ID,80.74,scattered clouds,-8.62,122.21,Sylvia Hotel
434,Merauke,ID,79.86,overcast clouds,-8.47,140.33,
436,Bitung,ID,82.4,few clouds,1.45,125.18,Peoplesight Learning Center ( PLC )
437,Oistins,BB,82.4,scattered clouds,13.07,-59.53,Butterfly Beach Hotel
439,Chardara,KZ,75.06,broken clouds,41.25,67.97,Жанаргул
442,Panama City,PA,80.6,scattered clouds,8.99,-79.52,Trump International Hotel & Tower Panama
443,Verkhoyansk,RU,81.52,broken clouds,67.54,133.38,
444,Neryungri,RU,85.98,few clouds,56.67,124.65,Pyat' Zvozd
448,Lumby,CA,78.01,overcast clouds,50.25,-118.97,Twin Creeks Motel
457,Ierapetra,GR,78.01,clear sky,35.01,25.74,Cretan Villa Hotel & Apartments in Ierapetra Crete
458,Nanakuli,US,87.8,broken clouds,21.39,-158.15,Camp Palehua
459,Jacqueville,CI,75.2,scattered clouds,5.21,-4.41,Hotel Le Martin Pecheur
465,Banda Aceh,ID,81.37,overcast clouds,5.56,95.32,OYO 884 Rumoh PMI Hotel
467,Kailua,US,86.0,light rain,21.4,-157.74,Sheffield House Bed & Breakfast
472,Tommot,RU,88.03,clear sky,58.96,126.29,Gostinitsa Tommot
475,Ugoofaaru,MV,83.41,overcast clouds,5.67,73.0,Ungoofaaru Inn
478,Itaueira,BR,76.95,scattered clouds,-7.6,-43.03,Hotel Pousada Luz
479,Seoul,KR,77.0,scattered clouds,37.57,126.98,LOTTE HOTEL SEOUL
491,Marsaxlokk,MT,75.99,clear sky,35.84,14.54,Water's Edge
493,Yumen,CN,75.9,clear sky,40.28,97.2,
494,Batagay,RU,81.05,broken clouds,67.63,134.63,
497,Nicoya,CR,80.6,broken clouds,10.15,-85.45,Guayacan Real
505,Mindelo,CV,77.0,scattered clouds,16.89,-24.98,Hotel Gaudi
506,Isla Mujeres,MX,82.99,broken clouds,21.23,-86.73,Hotel La Joya Isla Mujeres
507,Namatanai,PG,85.06,overcast clouds,-3.67,152.43,Namatanai Hotel
509,Payo,ID,76.12,scattered clouds,-3.75,103.64,Mess keban agung
511,Pangai,TO,78.8,broken clouds,-19.8,-174.35,Ha'apai Beach Resort
512,Porto Velho,BR,75.2,few clouds,-8.76,-63.9,Ecos Hotel Conforto
513,Ust-Karsk,RU,87.3,clear sky,52.7,118.81,
515,Medea,DZ,75.2,broken clouds,36.26,2.75,Hôtel M'Sallah
520,Tuy Hoa,VN,83.98,overcast clouds,13.08,109.3,CenDeluxe Hotel Tuy Hoa
524,Honiara,SB,86.0,broken clouds,-9.43,159.95,Heritage Park Hotel
525,Areosa,PT,78.01,overcast clouds,41.72,-8.86,Hotel Flôr de Sal
527,Davila,PH,82.4,broken clouds,18.47,120.58,SITIO 3 DAVILA PASUQUIN
528,Nizhniy Kuranakh,RU,87.01,clear sky,58.84,125.49,Park Pobedy
529,Guerrero Negro,MX,80.74,clear sky,27.98,-114.06,"Casa Laguna, Bed & Breakfast"
535,Cochrane,CA,75.0,clear sky,51.18,-114.47,Days Inn & Suites by Wyndham Cochrane
540,Guane,CU,79.03,overcast clouds,22.2,-84.09,base de Campismo LosPortales de Guane
546,Nago,JP,87.01,broken clouds,26.59,127.98,Hotel Yugaf Inn Okinawa
550,Acarau,BR,76.14,clear sky,-2.89,-40.12,castelo pizzaria
554,Baturaja,ID,76.46,few clouds,-4.13,104.17,"HOTEL Sekar Sunja, Baturaja Timur, Ogan Komering Ulu"
