City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Navahrudak,BY,2020-07-09 04:00:47,53.6,25.83,48.42,97,5,5.53
1,Awjilah,LY,2020-07-09 04:00:47,29.11,21.29,74.62,69,0,8.32
2,Karratha,AU,2020-07-09 03:59:21,-20.74,116.85,82.54,16,0,10.83
3,Kavieng,PG,2020-07-09 04:00:47,-2.57,150.8,85.19,71,84,11.86
4,San Patricio,MX,2020-07-09 04:00:47,19.22,-104.7,80.06,78,100,7.74
5,Mahebourg,MU,2020-07-09 04:00:48,-20.41,57.7,69.8,73,75,17.22
6,Camacupa,AO,2020-07-09 04:00:48,-12.02,17.48,45.86,51,0,4.41
7,Hamilton,US,2020-07-09 04:00:02,39.18,-84.53,79.0,94,1,2.21
8,Albany,US,2020-07-09 04:00:03,42.6,-73.97,73.0,91,0,2.57
9,Saint-Francois,FR,2020-07-09 04:00:48,46.42,3.91,54.0,81,28,2.24
10,Agua Branca,BR,2020-07-09 04:00:07,-5.89,-42.64,71.28,57,14,3.4
11,Sovetskiy,RU,2020-07-09 04:00:49,61.36,63.58,85.42,47,3,5.19
12,Sexsmith,CA,2020-07-09 04:00:49,55.35,-118.79,62.6,63,75,6.93
13,Maragogi,BR,2020-07-09 03:58:55,-9.01,-35.22,74.46,89,17,4.36
14,Dunedin,NZ,2020-07-09 04:00:49,-45.87,170.5,48.99,76,97,5.99
15,Jardim,BR,2020-07-09 04:00:50,-21.48,-56.14,54.39,87,100,6.04
16,Waddan,LY,2020-07-09 04:00:50,29.16,16.14,68.18,69,0,3.02
17,Puerto Ayora,EC,2020-07-09 04:00:50,-0.74,-90.35,66.99,96,66,1.01
18,Dikson,RU,2020-07-09 04:00:50,73.51,80.55,44.31,83,0,15.41
19,Portland,US,2020-07-09 03:56:02,45.52,-122.68,70.0,62,8,6.87
20,Mitu,CO,2020-07-09 04:00:51,1.2,-70.17,72.0,92,67,1.5
21,Esperance,AU,2020-07-09 04:00:42,-33.87,121.9,55.4,87,75,16.11
22,Siderno,IT,2020-07-09 04:00:52,38.28,16.3,73.99,88,0,2.42
23,Norman Wells,CA,2020-07-09 04:00:52,65.28,-126.83,66.2,42,75,6.93
24,Kodiak,US,2020-07-09 04:00:53,57.79,-152.41,64.4,48,90,16.11
25,San Gil,CO,2020-07-09 04:00:53,6.56,-73.13,63.72,84,35,1.72
26,Cherskiy,RU,2020-07-09 04:00:53,68.75,161.3,72.84,43,100,9.89
27,Jamestown,US,2020-07-09 04:00:12,42.1,-79.24,73.4,73,1,3.33
28,Nikolskoye,RU,2020-07-09 04:00:53,59.7,30.79,55.99,87,81,4.47
29,Rikitea,PF,2020-07-09 04:00:53,-23.12,-134.97,68.16,69,13,21.52
30,Salalah,OM,2020-07-09 04:00:54,17.02,54.09,82.4,88,90,2.24
31,Butaritari,KI,2020-07-09 04:00:54,3.07,172.79,83.68,78,81,17.96
32,Arraial Do Cabo,BR,2020-07-09 04:00:12,-22.97,-42.03,71.87,78,30,14.94
33,Vestmannaeyjar,IS,2020-07-09 04:00:54,63.44,-20.27,48.76,82,0,19.57
34,Qaanaaq,GL,2020-07-09 04:00:54,77.48,-69.36,41.36,67,0,2.82
35,Codrington,AU,2020-07-09 04:00:55,-38.27,141.97,55.67,64,0,13.2
36,Nanpiao,CN,2020-07-09 04:00:55,41.1,120.75,86.88,32,77,12.59
37,Tasiilaq,GL,2020-07-09 04:00:55,65.61,-37.64,41.0,86,5,8.05
38,Swarzedz,PL,2020-07-09 04:00:55,52.41,17.09,53.01,100,75,3.36
39,Khatanga,RU,2020-07-09 04:00:56,71.97,102.5,65.52,48,95,14.45
40,Cabo San Lucas,MX,2020-07-09 04:00:56,22.89,-109.91,86.0,25,40,11.41
41,Taga,RO,2020-07-09 04:00:56,46.95,24.05,52.0,100,0,2.24
42,Carnarvon,AU,2020-07-09 04:00:56,-24.87,113.63,69.8,37,34,21.92
43,Busselton,AU,2020-07-09 03:58:50,-33.65,115.33,59.0,63,13,4.72
44,Ponta Do Sol,PT,2020-07-09 04:00:57,32.67,-17.1,68.0,64,20,18.34
45,Upernavik,GL,2020-07-09 04:00:57,72.79,-56.15,40.75,75,0,8.28
46,Ugoofaaru,MV,2020-07-09 04:00:57,5.67,73.0,83.21,75,100,8.77
47,Cape Town,ZA,2020-07-09 03:58:34,-33.93,18.42,63.0,55,100,29.97
48,Bluff,NZ,2020-07-09 04:00:57,-46.6,168.33,49.78,83,100,14.76
49,Souillac,MU,2020-07-09 04:00:58,-20.52,57.52,69.8,73,75,17.22
50,Hilo,US,2020-07-09 04:00:58,19.73,-155.09,78.8,69,90,10.29
51,Grand-Santi,GF,2020-07-09 04:00:58,4.25,-54.38,72.91,97,97,2.24
52,Kapaa,US,2020-07-09 04:00:59,22.08,-159.32,80.6,69,75,18.34
53,Yining,CN,2020-07-09 04:00:59,29.04,114.56,81.55,80,95,3.42
54,Xichang,CN,2020-07-09 04:00:59,27.9,102.26,78.01,68,100,1.45
55,Loanda,AO,2020-07-09 04:01:00,-8.84,13.23,69.8,94,75,2.24
56,Mustang,US,2020-07-09 03:56:15,35.38,-97.72,87.8,70,1,11.41
57,Neryungri,RU,2020-07-09 04:01:00,56.67,124.65,70.43,54,100,12.33
58,Mehamn,NO,2020-07-09 04:01:01,71.04,27.85,46.4,93,75,2.24
59,Kaitangata,NZ,2020-07-09 04:01:01,-46.28,169.85,50.0,71,99,11.01
60,Hajnowka,PL,2020-07-09 04:01:01,52.74,23.58,53.01,79,0,5.1
61,Gopalpur,IN,2020-07-09 04:01:01,19.27,84.92,87.22,71,100,8.66
62,Margate,GB,2020-07-09 04:01:01,51.38,1.39,61.0,99,95,3.0
63,Torbay,CA,2020-07-09 04:01:02,47.67,-52.73,50.0,93,75,14.99
64,Yellowknife,CA,2020-07-09 04:01:02,62.46,-114.35,66.0,48,20,5.82
65,Cidreira,BR,2020-07-09 04:01:02,-30.18,-50.21,53.55,77,88,22.08
66,Eganville,CA,2020-07-09 04:01:01,45.53,-77.1,73.4,69,20,2.39
67,Hobart,AU,2020-07-09 04:00:35,-42.88,147.33,53.6,62,40,2.24
68,Longyearbyen,SJ,2020-07-09 04:00:09,78.22,15.64,44.6,87,75,4.7
69,Buraydah,SA,2020-07-09 04:01:01,26.33,43.98,78.8,29,0,6.93
70,New Norfolk,AU,2020-07-09 04:01:03,-42.78,147.06,52.0,84,53,1.59
71,Komsomolskiy,UZ,2020-07-09 04:01:03,40.43,71.72,73.4,56,56,4.7
72,Coquimbo,CL,2020-07-09 04:01:03,-29.95,-71.34,53.6,76,0,6.93
73,Mataura,NZ,2020-07-09 04:01:03,-46.19,168.86,43.66,94,100,5.48
74,Klaksvik,FO,2020-07-09 04:01:04,62.23,-6.59,50.0,87,37,10.29
75,Port Alfred,ZA,2020-07-09 04:01:04,-33.59,26.89,75.0,38,27,10.0
76,Porto Torres,IT,2020-07-09 04:01:04,40.84,8.4,69.8,94,40,2.24
77,Isiolo,KE,2020-07-09 04:01:04,0.35,37.58,69.03,62,100,6.98
78,Imbituba,BR,2020-07-09 04:01:05,-28.24,-48.67,60.8,67,96,3.36
79,Chumikan,RU,2020-07-09 04:01:05,54.72,135.31,53.19,78,93,10.45
80,Murgab,TM,2020-07-09 04:01:05,37.5,61.97,82.4,28,20,2.08
81,Yongchang,CN,2020-07-09 04:01:05,30.04,119.73,80.01,87,89,2.48
82,Tosya,TR,2020-07-09 04:01:05,41.02,34.04,59.9,76,4,3.85
83,Kailua,US,2020-07-09 04:01:05,21.4,-157.74,84.2,54,20,11.41
84,Manjacaze,MZ,2020-07-09 04:01:06,-24.71,33.88,59.16,95,0,2.28
85,Tiksi,RU,2020-07-09 04:01:06,71.69,128.87,34.99,94,100,6.4
86,Ushuaia,AR,2020-07-09 04:01:06,-54.8,-68.3,39.2,64,75,8.05
87,Umm Lajj,SA,2020-07-09 04:01:06,25.02,37.27,84.99,40,0,5.19
88,Bengkulu,ID,2020-07-09 03:57:22,-3.8,102.27,83.21,64,99,3.62
89,Valdivia,CL,2020-07-09 04:01:07,-39.81,-73.25,44.6,93,90,8.05
90,Novyy Urgal,RU,2020-07-09 04:01:07,51.07,132.56,63.97,68,100,3.67
91,Punta Arenas,CL,2020-07-09 04:01:07,-53.15,-70.92,32.0,87,10,10.29
92,Pangnirtung,CA,2020-07-09 04:01:07,66.15,-65.71,43.2,68,35,2.77
93,Manaure,CO,2020-07-09 04:01:08,11.78,-72.44,81.68,77,62,10.11
94,Deep River,CA,2020-07-09 04:01:08,46.1,-77.5,73.4,69,20,2.91
95,Takoradi,GH,2020-07-09 04:01:08,4.88,-1.76,75.42,89,100,9.13
96,Omsukchan,RU,2020-07-09 04:01:09,62.53,155.8,58.77,76,100,11.18
97,Bredasdorp,ZA,2020-07-09 04:01:09,-34.53,20.04,60.8,44,100,8.05
98,Saint-Philippe,RE,2020-07-09 04:01:09,-21.36,55.77,68.0,63,45,4.7
99,San Rafael Del Sur,NI,2020-07-09 04:00:35,11.85,-86.44,78.8,88,40,9.66
100,Miranda,CO,2020-07-09 04:01:10,3.25,-76.23,71.6,78,40,3.36
101,Thompson,CA,2020-07-09 04:01:11,55.74,-97.86,64.4,82,90,3.36
102,Magadan,RU,2020-07-09 03:58:32,59.57,150.8,51.3,94,100,4.32
103,Shimoda,JP,2020-07-09 04:01:12,34.67,138.95,78.8,88,75,16.11
104,Grand Gaube,MU,2020-07-09 04:01:12,-20.01,57.66,66.0,83,9,4.0
105,Taoudenni,ML,2020-07-09 04:01:12,22.68,-3.98,88.0,13,0,10.31
106,Barrow,US,2020-07-09 04:00:37,71.29,-156.79,44.6,70,1,16.11
107,Half Moon Bay,US,2020-07-09 03:57:26,37.46,-122.43,63.0,87,40,8.05
108,Libreville,GA,2020-07-09 04:01:13,0.39,9.45,77.0,88,40,6.93
109,Svetlogorsk,BY,2020-07-09 04:01:13,52.63,29.73,54.03,85,59,7.56
110,East London,ZA,2020-07-09 04:01:13,-33.02,27.91,71.6,35,70,17.22
111,Teguldet,RU,2020-07-09 04:01:13,57.31,88.17,68.29,85,92,8.66
112,Ilulissat,GL,2020-07-09 04:01:13,69.22,-51.1,48.2,57,97,17.22
113,Sharlyk,RU,2020-07-09 04:01:14,52.92,54.75,77.25,62,0,8.08
114,Abha,SA,2020-07-09 04:01:14,18.22,42.51,66.2,48,63,4.74
115,Auki,SB,2020-07-09 04:01:14,-8.77,160.7,85.69,68,88,5.59
116,Puerto Colombia,CO,2020-07-09 04:01:14,10.99,-74.95,77.0,94,40,2.24
117,Vila Velha,BR,2020-07-09 04:01:14,-20.33,-40.29,69.8,88,0,5.82
118,Manyana,BW,2020-07-09 04:01:15,-23.4,21.72,48.56,86,0,13.35
119,Arys,KZ,2020-07-09 04:01:15,42.43,68.8,89.44,20,0,4.94
120,Lorengau,PG,2020-07-09 04:01:15,-2.02,147.27,85.75,69,50,12.39
121,Talnakh,RU,2020-07-09 04:01:15,69.49,88.4,57.2,76,40,22.37
122,Beloha,MG,2020-07-09 04:01:15,-25.17,45.05,62.22,86,0,12.19
123,Fortuna,US,2020-07-09 04:01:16,40.6,-124.16,57.99,87,1,10.29
124,Namtsy,RU,2020-07-09 04:01:16,62.72,129.67,77.0,31,26,4.47
125,Mirabad,AF,2020-07-09 04:01:16,30.44,61.84,93.16,11,0,16.84
126,Ucluelet,CA,2020-07-09 04:00:13,48.93,-125.55,57.0,90,100,5.64
127,Rantepao,ID,2020-07-09 04:01:16,-2.97,119.9,76.12,80,68,3.96
128,Talea,RO,2020-07-09 04:01:17,45.22,25.55,55.0,84,0,1.01
129,Hithadhoo,MV,2020-07-09 04:01:17,-0.6,73.08,84.4,68,47,3.51
130,Hermanus,ZA,2020-07-09 04:01:17,-34.42,19.23,60.01,53,100,11.99
131,Castro,BR,2020-07-09 04:01:17,-24.79,-50.01,48.78,97,23,6.53
132,Skelleftea,SE,2020-07-09 04:01:17,64.75,20.95,54.0,100,100,2.24
133,Lebu,CL,2020-07-09 04:01:18,-37.62,-73.65,48.43,79,100,14.56
134,Meulaboh,ID,2020-07-09 04:01:18,4.14,96.13,80.4,72,100,7.92
135,Atuona,PF,2020-07-09 04:01:18,-9.8,-139.03,79.21,78,13,12.06
136,South Hadley,US,2020-07-09 03:57:42,42.26,-72.57,73.99,88,20,5.82
